,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt
114,22.4,29.8,1.1,0.8,74.8,14.1,0.0,6.5,2733.294871794872,2791.512820512821,0.0,132.77213782051282
115,22.3,30.1,33.9,0.9,78.0,14.1,10.76,9.0,2881.9487179487173,3077.6410256410254,2852.7777777777783,138.0227051282051
116,22.8,28.3,93.2,0.7,85.0,14.0,6.44,9.3,1042.2628205128206,1073.3076923076922,1686.111111111111,55.66238141025641
117,22.4,26.7,40.4,1.0,84.5,14.0,2.08,9.6,417.73717948717945,441.9935897435898,491.6666666666667,24.087110819735827
118,23.0,30.7,29.8,1.1,79.1,14.0,13.54,9.0,4000.8589743589746,3895.0512820512813,3513.8888888888882,191.92117094017092
119,23.9,27.6,8.5,0.6,81.9,13.9,4.83,9.3,1271.846153846154,1280.3846153846152,1094.4444444444443,64.25008974358974
120,23.2,26.8,56.5,2.0,83.1,13.9,4.07,9.8,781.5961538461538,813.6987179487181,894.4444444444446,45.264138888888894
121,22.0,25.8,2.8,0.5,86.5,13.9,6.13,9.6,994.4102564102566,1064.7115384615386,1394.4444444444448,47.21520619658121
122,21.2,25.6,43.9,0.6,89.3,13.8,5.91,9.5,719.5192307692308,758.7564102564103,1247.222222222222,38.13586538461538
123,23.0,27.7,18.2,1.1,85.0,13.8,5.4,9.1,1514.3141025641025,1561.6666666666665,1366.6666666666665,74.513
124,23.5,28.8,22.7,0.6,89.9,13.8,6.48,8.0,1405.7051282051284,1443.2051282051282,1650.0,71.65330128205132
125,22.6,26.9,52.2,0.8,88.4,13.7,4.79,8.5,904.9358974358975,966.0320512820514,1202.7777777777776,50.09325213675213
126,22.9,30.5,0.0,0.6,83.1,13.7,14.03,7.9,1548.1089743589746,1599.2756410256409,3663.8888888888887,76.75715491452993
127,24.7,31.8,0.0,1.0,75.6,13.7,14.47,8.0,3224.1858974358975,3038.4358974358975,3672.2222222222217,156.80072649572645
128,26.4,31.0,10.2,1.5,77.8,13.6,8.72,0.0,3915.641025641026,3708.0000000000005,2138.888888888889,187.00002991452993
129,24.1,27.2,57.4,0.7,90.1,13.6,2.4,8.5,2361.192307692308,2367.794871794871,469.44444444444446,117.86916880341883
130,23.6,31.6,0.0,1.0,76.9,13.6,16.25,7.8,4491.660256410256,4104.641025641025,4105.555555555556,210.83445405982906
131,24.7,31.4,0.0,0.8,73.1,13.5,19.37,6.5,5850.339743589743,5318.929487179487,4858.333333333333,264.6892532051283
132,23.6,31.7,0.0,0.8,76.3,13.5,19.71,2.1,5753.15034965035,5328.7616550116545,5113.888888888889,260.3289379370629
133,23.0,31.7,0.0,0.9,72.8,13.5,23.34,2.4,5929.653846153846,5369.0576923076915,6155.555555555555,271.2826036324787
134,23.1,32.2,0.0,0.9,71.6,13.4,23.98,3.0,6256.474358974359,5638.570512820512,6258.333333333333,284.72763141025644
135,24.0,32.0,0.0,1.1,74.9,13.4,17.89,6.8,5439.50641025641,4999.166666666667,4630.555555555556,250.7972606837607
136,20.6,29.7,68.9,1.1,80.0,13.4,10.22,8.9,1891.0064102564106,1975.0128205128203,2611.1111111111113,94.09274572649572
137,20.4,29.6,0.0,0.9,76.3,13.3,21.98,4.6,4326.711538461539,3967.2499999999995,5677.777777777777,206.4059668803419
138,21.7,31.7,0.0,1.0,70.8,13.3,21.18,6.4,5312.423076923077,4895.448717948718,5430.555555555555,245.87772649572648
139,24.0,34.4,0.0,0.9,66.9,13.2,23.59,5.4,4801.153846153846,4453.6410256410245,5986.1111111111095,223.310875
140,25.0,34.1,0.2,1.4,64.5,13.2,19.57,6.6,3521.0384615384614,3264.8076923076915,5052.777777777778,172.08693162393166
141,25.1,31.6,29.9,1.8,75.6,13.2,9.18,8.3,2509.012820512821,2537.0384615384614,2294.4444444444443,126.85103632478632
