,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
83,20.4,26.0,5.9,4.4,80.4,14.5,6.52,8.4,816.9166666666666,816.75,291.6666666666667,677.1362646566164,255.18185770936424
84,20.0,27.6,,1.9,76.0,14.5,15.45,6.0,1419.1666666666665,1388.6666666666667,1405.5555555555559,1248.668592964824,1215.1332214013441
85,18.3,28.8,,1.8,71.6,14.5,18.73,7.5,4450.954545454546,4300.30303030303,4447.222222222223,3555.1821912593273,4369.615315923762
86,18.8,23.0,5.1,2.5,81.4,14.5,6.9,8.8,1255.9358974358975,1260.076923076923,1641.6666666666667,1132.2699394407937,1492.8964650635846
87,18.8,25.2,,1.9,82.4,14.5,11.02,8.8,1021.4166666666665,1016.5833333333333,1177.7777777777778,0.0,1071.0007769683505
88,19.7,28.7,,1.7,77.4,14.5,22.02,7.9,4147.044871794872,4064.1538461538457,4713.888888888889,0.0,4316.788701587965
89,20.2,28.4,0.0,1.4,88.1,14.5,6.78,9.7,1197.4551282051282,1192.5512820512822,1005.5555555555555,0.0,958.4360839719513
90,22.6,30.2,,2.9,84.5,14.4,23.39,5.9,4576.2307692307695,4383.435897435897,4811.111111111111,0.0,4496.957529909958
91,21.5,31.2,,1.6,75.4,14.4,21.47,5.0,3602.916666666667,3493.75,3836.1111111111113,1291.0624181513626,3426.3453207979883
92,20.7,29.2,1.2,1.8,84.4,14.4,12.35,8.1,1732.4469696969697,1698.5075757575755,1422.2222222222224,1358.066917922948,1660.5268894633177
93,21.4,27.5,80.4,2.5,96.5,14.4,5.72,9.2,776.3653846153848,767.4423076923077,1033.3333333333333,744.0059065724894,705.3255276725329
94,22.3,30.5,,2.2,85.5,14.4,14.55,,4050.5303030303025,3932.234848484849,3791.6666666666665,3130.746619460941,3799.7337809272053
95,18.9,22.4,23.7,3.0,89.3,14.4,4.59,,907.4871794871796,911.5448717948717,886.1111111111111,847.4100502512562,775.0237194875776
96,18.9,20.4,83.5,3.5,95.8,14.4,2.79,7.7,708.75,708.2499999999999,672.2222222222222,699.4804020100503,563.9670677379961
97,19.2,22.5,0.5,2.5,89.3,14.3,8.65,8.9,1496.9166666666665,1508.0192307692305,2150.0,1302.392172400464,1938.0140575628104
98,19.1,22.9,1.0,2.3,83.8,14.3,9.76,8.3,1578.4423076923076,1566.3910256410256,2005.5555555555554,1439.198054374436,1758.3226089376749
99,18.4,28.5,,1.7,74.1,14.3,24.76,5.0,5593.295454545453,5318.272727272726,5708.333333333334,4887.519262981574,5263.942341178872
100,17.1,29.1,,2.2,75.9,14.3,29.09,1.1,6404.083333333334,6100.166666666667,6688.888888888888,5304.2592431856265,6435.619872387875
101,17.9,26.9,,1.7,78.0,14.3,15.14,7.1,3053.75,3012.833333333334,3572.222222222222,2506.3451728338664,3529.9443685509873
102,20.9,25.7,0.2,1.8,92.3,14.2,4.55,8.0,844.0833333333333,844.8333333333334,822.2222222222223,744.7425460636516,897.2234568092972
103,24.0,29.0,0.3,3.8,90.5,14.2,7.82,8.9,1455.977272727273,1456.5075757575755,1388.888888888889,1371.1635830668495,974.6372883755936
104,22.9,31.9,6.2,1.6,79.9,14.2,22.81,8.1,2317.9393939393935,2237.5606060606056,2805.5555555555557,2138.2750266483936,2179.9811748834627
105,22.0,26.9,82.1,1.2,97.5,14.2,7.05,10.0,1306.9166666666667,1292.75,1855.5555555555554,1196.9697654941372,1696.3512228938198
106,21.7,23.3,96.5,2.3,96.9,14.1,5.8,10.0,1065.2814685314686,1066.16317016317,1461.111111111111,970.8221117241218,1388.0087533582819
107,20.6,25.5,2.1,2.5,91.0,14.1,9.64,5.9,2192.083333333333,2129.083333333333,2244.4444444444443,1771.3793132328308,2251.357377427186
108,20.7,26.4,1.5,1.9,91.5,14.1,8.41,8.4,1522.6818181818182,1507.6969696969697,1150.0,1335.4340871021775,1008.7352643620294
109,20.0,29.9,,1.9,80.6,14.1,26.54,5.5,6148.590909090909,5755.924242424241,6727.777777777777,5118.4228110248205,6260.066669638946
110,22.0,27.0,37.5,2.1,93.5,14.1,5.52,9.9,936.1666666666666,945.0000000000001,1405.5555555555552,856.421554743414,1384.161168199344
111,21.8,23.9,19.1,1.5,97.3,14.0,3.32,9.5,625.6666666666666,615.5833333333331,552.7777777777778,579.6101340033501,581.4679932029948
112,21.9,29.7,16.7,0.8,96.9,14.0,8.33,9.4,307.75000000000006,308.25,658.3333333333335,297.2625821414766,439.04325380674135
113,21.1,30.1,38.1,1.4,97.8,14.0,8.85,9.6,798.8333333333334,787.7499999999999,808.3333333333334,697.6541038525964,638.7535558475148
114,21.3,32.7,,1.7,86.8,13.9,18.69,8.1,3367.7348484848485,3221.712121212121,3827.7777777777774,2952.470260392873,3385.5136938075557
115,24.3,32.6,,2.2,83.5,13.9,21.23,8.1,5174.30303030303,4900.492424242424,5452.777777777777,4084.860453784072,5127.240081351099
116,25.4,32.7,,3.2,83.5,13.9,18.85,7.9,3766.780303030303,3574.6969696969695,4186.111111111111,3146.557689964977,3570.0012625965846
117,25.8,31.1,,3.4,81.9,13.9,17.9,8.3,2355.8484848484854,2294.909090909091,2380.5555555555557,1836.2832115121055,2327.6458241916584
118,25.2,31.2,,3.0,86.8,13.8,19.02,6.8,4538.85606060606,4266.757575757577,4566.666666666666,3753.691198416324,4086.0503071773455
119,25.4,31.2,,3.3,89.4,13.8,18.29,7.4,3228.280303030303,3075.075757575757,3111.1111111111113,2491.0427973199335,3025.9655015341223
120,25.7,29.3,7.0,4.2,90.3,13.8,5.83,9.4,1195.5833333333333,1187.5833333333333,1491.666666666667,1038.1059463986599,1339.8756270818187
121,24.0,28.3,53.1,2.4,93.9,13.8,4.87,10.0,1622.7272727272727,1610.7575757575758,1200.0000000000002,1392.5257651895843,1218.143604261132
122,24.0,27.0,95.0,2.6,98.3,13.7,3.16,9.9,679.0833333333334,671.2500000000001,716.6666666666666,634.4144053601341,662.1982539151923
123,24.3,30.8,7.3,3.5,91.6,13.7,19.5,7.3,2860.3787878787875,2699.2954545454545,3327.7777777777783,2416.277820922796,3225.477730938467
124,24.3,31.7,11.6,2.6,94.3,13.6,10.5,7.4,1485.4090909090908,1468.0454545454545,1941.6666666666667,1219.7893254149535,1969.1205615248184
125,25.0,31.8,11.0,2.6,92.4,13.6,12.91,7.6,1628.75,1540.5833333333333,1647.2222222222222,1240.6447236180904,1673.170031241625
126,25.4,30.1,27.0,2.2,94.8,13.6,7.82,8.1,1096.4230769230771,1068.423076923077,1313.8888888888891,968.5678585233862,803.381913980816
127,24.7,33.8,,3.0,83.6,13.6,22.54,5.9,2067.9166666666665,1906.6439393939395,3377.777777777778,1941.486820465966,2568.0864276647894
128,27.0,32.9,,3.8,81.0,13.5,25.27,5.0,5974.319696969696,5445.410606060606,6430.555555555556,4836.0263438404145,5978.617909402133
129,25.9,34.4,,2.7,80.0,13.5,23.55,3.9,5844.606060606061,5330.489393939394,5969.444444444444,4556.842789706106,5669.857125326891
130,24.5,35.1,,2.4,79.5,13.5,27.06,4.3,5440.227272727273,4975.901515151515,5416.666666666667,4180.683957667124,5592.612621874279
131,25.4,36.4,,1.5,78.0,13.4,25.34,3.1,4551.580808080808,4154.222222222223,4111.111111111111,3439.211865387544,4489.341800386665
132,24.3,36.0,,1.5,77.8,13.4,25.61,1.4,6202.378787878789,5536.575757575757,6536.111111111111,5018.633653114055,6065.59499496326
133,24.7,36.6,,1.8,78.0,13.4,25.81,0.5,6149.007575757576,5470.227272727272,6586.111111111111,5008.372034414498,6116.455869840743
134,25.2,37.8,,1.8,69.6,13.3,25.17,0.8,6138.446969696971,5444.143939393939,6455.555555555556,5105.744396223542,6070.218015154714
135,23.4,33.9,,2.0,75.5,13.3,20.51,4.1,3532.9545454545455,3145.227272727273,4113.88888888889,3143.366118471144,3645.9262575149505
136,24.2,32.1,,2.4,75.1,13.3,18.1,7.4,3960.363636363636,3643.4999999999995,4083.3333333333335,3316.8721181665906,3879.4087509845426
137,24.1,33.2,,1.7,76.1,13.2,21.13,7.3,3023.3636363636365,2738.5606060606056,3005.5555555555557,2481.755405816964,2828.543787715266
138,23.3,34.5,,1.3,74.8,13.2,24.29,3.8,5353.886363636363,4696.492424242424,6255.555555555556,4589.8482335922035,5775.511185289402
139,23.7,36.2,,1.7,73.0,13.2,24.0,3.6,4838.363636363636,4246.80303030303,5352.777777777777,3920.534018577737,5150.035917010799
140,28.3,32.9,0.0,3.0,76.1,13.1,15.38,8.5,2542.3333333333335,2240.840909090909,2269.4444444444443,2098.1472894776916,2089.498606501564
141,24.1,29.3,23.3,1.9,94.4,13.1,4.63,9.1,908.4090909090908,871.4696969696969,716.6666666666666,816.2877874219583,729.6058708641742
142,25.2,31.7,18.5,1.3,89.5,13.1,13.8,8.8,1573.5909090909092,1426.469696969697,2194.4444444444443,1386.1780264961171,1826.2268512828587
143,24.6,32.9,1.6,2.1,86.9,13.0,20.71,6.3,4068.166666666667,3654.4166666666665,4319.444444444443,3166.717671691792,4092.3316239382216
144,24.9,34.9,15.0,1.8,86.8,13.0,18.92,6.3,1605.4848484848485,1458.2727272727273,1236.1111111111113,1078.0033729252323,1676.920546175542
145,24.3,28.3,0.0,3.1,79.8,12.9,8.25,6.6,824.9166666666665,832.9166666666665,1063.888888888889,732.893216080402,959.6753869547932
146,23.5,29.9,,3.1,81.5,12.9,9.46,6.8,988.0833333333333,964.9166666666666,952.7777777777777,787.4721943048577,959.6594835698504
147,24.8,30.7,62.4,3.9,85.6,12.9,8.93,9.9,2000.651515151515,1965.6515151515152,2266.6666666666665,1665.5771356783919,2396.0601117810947
148,23.1,31.0,133.0,5.6,74.1,12.8,17.84,4.9,2313.583333333333,1935.6666666666665,3250.0000000000005,0.0,2184.734133153806
149,18.0,29.8,,1.7,76.9,12.8,23.54,1.4,6214.255827505827,5280.462703962705,6141.666666666667,100.47903152124259,5987.323238365742
150,17.9,21.2,30.9,2.2,95.5,12.8,2.8,9.6,646.0448717948718,646.4358974358973,719.4444444444443,619.5160224197912,688.0184875179509
151,18.8,21.6,6.4,4.6,89.8,12.7,4.58,9.6,803.6666666666667,827.0,908.3333333333333,705.0399497487438,924.2979737521548
152,19.6,25.4,195.5,6.2,88.1,12.7,4.0,7.9,618.8205128205128,594.2628205128206,613.8888888888889,161.5108268615806,525.9984309566648
153,21.5,29.2,,3.8,80.9,12.7,21.89,5.5,5446.439393939393,4661.022727272727,5808.333333333334,4402.010354804325,5609.066014049134
154,20.5,28.7,0.0,2.2,84.5,12.6,16.54,5.1,3349.9393939393935,2854.757575757576,4144.444444444444,2870.1062661793817,3577.143351247059
155,20.3,28.8,,1.5,81.1,12.6,15.54,8.1,3590.5000000000005,3171.583333333333,3802.777777777778,2939.4750342622197,3704.1127897997344
156,19.7,28.1,14.0,2.9,84.3,12.6,8.1,10.0,1338.0000000000002,1324.2500000000002,1580.5555555555554,1142.1488274706867,1537.1327254907112
157,19.3,25.7,2.2,4.2,79.8,12.5,16.41,8.1,372.66666666666663,367.58333333333337,1116.6666666666667,337.6757956448911,670.6563974640338
158,19.0,25.3,,1.9,79.4,12.5,10.84,8.0,2710.5303030303025,2491.4999999999995,2622.222222222222,2134.2573321151212,2756.239246730104
159,17.9,28.5,,1.5,82.1,12.4,19.51,5.8,3874.5833333333335,3228.583333333334,4316.666666666667,3230.8355108877718,3668.353287674406
160,18.9,29.4,,1.7,77.4,12.4,16.74,7.1,4439.25,3715.3333333333335,3752.7777777777774,3438.081338510736,4375.05694011945
161,20.5,23.2,1.3,1.6,90.4,12.4,4.46,7.6,952.25,929.8333333333331,797.2222222222222,812.2646566164153,817.0890194603039
162,18.1,24.0,5.4,1.2,93.8,12.3,4.46,9.8,1021.2820512820514,1028.2564102564104,1038.888888888889,917.6453420950909,1002.4857542856273
163,16.3,24.2,0.9,1.4,87.0,12.3,9.6,8.3,2623.083333333334,2415.4166666666665,2558.3333333333335,2289.9678391959796,2251.04530188
164,13.6,27.5,,1.4,75.1,12.3,19.56,3.1,5602.033333333333,4710.516666666666,5149.999999999999,4290.936843307447,5303.1925641631415
165,13.8,27.8,,1.9,68.1,12.2,22.17,0.1,5242.068181818183,4178.719696969697,5247.222222222223,4544.8062597369135,4916.109781726186
166,12.1,25.8,,1.8,70.4,12.2,18.29,4.3,5374.166666666666,4428.613636363636,4819.444444444444,4472.19039896452,4796.807769614649
167,17.6,23.7,,3.1,69.5,12.2,13.7,6.0,2581.153846153846,2265.202214452215,3566.666666666666,2499.7709438802403,3237.385995002526
168,18.2,23.4,,3.4,75.4,12.1,8.43,9.3,2320.333333333334,2212.083333333333,2197.2222222222226,2020.005108877722,2364.6350156951744
169,19.0,26.0,,4.0,71.1,12.1,12.8,7.8,2428.5000000000005,2172.6666666666665,2838.888888888889,2081.248324958124,2567.7840160892115
170,17.2,25.4,,3.1,72.0,12.0,13.89,4.5,1085.0512820512822,929.147435897436,2086.1111111111113,1135.1710797577632,1586.2056610698262
171,16.9,25.6,,3.3,64.5,12.0,20.12,5.5,4399.075757575758,3519.856060606061,4552.777777777777,3831.584719049794,4336.619072644562
172,16.7,24.9,0.0,2.9,72.6,12.0,14.95,5.1,2570.147435897435,2145.3012820512818,2655.555555555555,2178.79637933256,2584.977697085262
173,14.5,25.5,,2.4,69.5,11.9,19.76,2.8,5268.35606060606,4115.280303030303,5369.444444444443,4553.402109029998,5209.470784908616
174,12.5,26.9,,1.3,71.8,11.9,18.77,3.9,4809.174242424243,3758.5303030303025,4441.666666666666,4014.5775696665146,4323.746447736798
175,14.2,27.0,,2.0,70.9,11.9,18.35,4.0,2557.7045454545455,1919.2651515151515,3047.222222222223,2474.973823663774,2679.9877284114477
176,13.3,26.4,,1.7,77.6,11.8,17.57,3.5,1073.0833333333333,741.6666666666666,1588.8888888888887,1278.5188442211056,970.7708519813103
177,13.7,26.1,,1.4,79.3,11.8,18.12,3.4,3950.136363636363,3038.856060606061,3855.5555555555557,3274.337962539972,3913.993950611839
178,18.6,28.1,,1.3,77.9,11.8,14.04,8.4,3249.3560606060605,2581.151515151515,3394.444444444445,2868.2013552611547,3082.64679787341
179,18.4,26.8,0.1,1.9,75.4,11.7,9.85,9.1,1587.9999999999998,1422.0833333333333,1308.3333333333335,1239.0845896147405,1502.8112728389797
180,12.2,22.4,,2.4,46.8,11.7,20.48,2.9,4909.833333333333,3666.4999999999995,4927.777777777778,4364.959128978225,4789.406305734515
181,9.4,24.6,,1.7,61.0,11.6,19.12,2.9,3826.6060606060605,2809.704545454546,3891.6666666666665,3414.26672757728,3708.33751815576
182,15.1,23.7,,3.2,60.6,11.6,18.96,6.3,4493.7692307692305,3443.217948717949,4325.000000000001,3715.1874354288925,4339.821479947013
183,17.2,23.0,,3.9,56.3,11.6,16.89,4.1,2791.1858974358975,2193.301282051282,3347.2222222222226,2476.506635742817,2969.387150770677
184,17.5,23.0,,3.9,57.1,11.5,14.03,6.6,3287.810023310023,2747.1136363636365,3613.8888888888882,2736.6818462944093,3581.0091900333364
185,15.6,21.1,,3.7,67.0,11.5,7.11,7.3,947.0051282051281,901.873076923077,1241.6666666666667,842.6787630459993,1319.1394562335297
186,13.3,22.2,,1.6,74.6,11.5,8.75,7.8,2444.4999999999995,2128.6666666666665,2347.222222222222,2053.5763819095478,2565.6052288431406
187,12.3,26.1,,1.6,74.8,11.4,16.19,5.1,2145.7833333333333,1499.2642857142857,3047.222222222222,2092.521296960995,2591.712039082948
