,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,watt,reset_match
60,20.8,29.7,,1.4,60.8,14.6,22.0,3.3,4730.023809523809,4483.0,4916.666666666666,3950.6621666666674,4635.358527281853
61,20.3,32.6,,1.3,57.4,14.6,27.75,0.5,6444.523809523809,6059.333333333332,6727.777777777777,5316.655571428571,6416.178696088762
62,21.1,34.4,,1.4,47.6,14.6,28.46,2.3,6729.000000000002,6316.666666666668,6913.888888888889,5473.534166666666,6670.688706032863
63,22.0,34.4,59.8,1.3,58.8,14.6,24.28,7.0,4340.333333333333,4053.8333333333335,4583.333333333333,3518.0176666666666,4511.290481820761
64,21.3,31.6,5.1,1.6,68.6,14.6,24.82,5.4,4949.5,4636.666666666667,4805.555555555555,4123.9839999999995,4937.577562115769
65,22.8,27.1,2.0,1.0,78.5,14.6,9.14,9.0,1515.5238095238096,1427.3333333333333,1699.9999999999998,1358.4481666666668,1726.8889182298299
66,21.8,32.1,10.7,1.5,71.8,14.7,26.06,7.8,4891.833333333334,4555.666666666667,5000.0,4041.5255000000006,4992.322806524239
67,21.2,29.8,0.4,2.0,72.4,14.7,18.62,4.9,2011.1666666666665,1965.5000000000002,2194.4444444444443,1727.9195000000002,1947.5992923249898
68,19.1,30.0,,1.9,61.9,14.7,27.0,5.3,5139.0,4868.833333333333,4972.222222222221,4331.563666666666,4862.737315442825
69,19.5,30.2,,1.3,63.3,14.7,25.74,6.3,4616.904761904762,4313.5952380952385,4574.999999999999,3807.372833333333,4378.058773814454
70,21.2,28.4,,1.5,58.4,14.7,19.18,8.9,3862.1666666666674,3612.9999999999995,3936.111111111111,3294.7716666666674,3949.0915915517635
71,20.2,24.7,0.0,1.5,67.9,14.7,10.44,9.3,1976.0,1878.0,2002.7777777777778,1795.4386666666667,1820.4455693460932
72,19.1,29.6,3.6,1.4,64.8,14.7,26.4,4.0,4285.5,4008.3333333333335,4344.444444444444,3516.755166666667,4318.456319853072
73,20.7,30.8,,1.4,66.8,14.7,23.08,3.8,3503.0000000000005,3341.5,3808.333333333333,2906.982333333333,3423.4025469771505
74,21.6,32.9,0.8,1.3,61.3,14.7,26.99,3.0,6336.166666666668,5911.333333333333,6133.333333333333,5211.612166666668,6135.49739502401
75,21.5,34.0,,1.3,58.0,14.7,27.71,0.6,6128.904761904762,5729.523809523807,6244.444444444444,4977.220071428572,6220.689531636734
76,22.7,31.4,,1.4,61.6,14.7,20.18,7.9,3778.0,3514.7619047619046,4158.333333333333,3156.3433571428573,4174.832495256772
77,21.3,27.1,0.7,1.8,71.9,14.7,5.12,9.9,995.6666666666666,942.3333333333333,1186.111111111111,947.5335000000002,1115.9663295461198
78,20.5,24.0,1.8,1.4,85.3,14.7,4.94,9.8,893.1666666666665,856.1666666666665,794.4444444444443,825.6716666666666,751.9395397858364
79,19.7,28.8,0.0,2.0,69.3,14.7,22.39,7.0,3401.166666666667,3237.5,3669.4444444444443,2886.7554999999998,3329.765302155535
80,20.3,29.0,,1.1,67.8,14.7,16.44,6.5,3554.4761904761904,3341.9047619047624,3627.7777777777774,3069.7892857142856,3588.632366619099
81,20.6,30.5,,1.3,63.5,14.7,25.63,2.3,5162.5,4952.166666666666,5702.777777777777,4292.423333333333,5157.734691344674
82,20.2,27.4,36.6,2.0,77.0,14.6,10.36,8.3,2142.3333333333335,2026.1666666666665,2430.555555555555,1910.9360000000001,2432.2032403236276
83,18.7,23.2,22.8,2.1,88.6,14.6,4.91,10.0,1147.9999999999998,1096.3333333333333,902.7777777777778,1088.7984999999999,901.7302113611788
84,17.7,24.7,1.5,0.9,77.3,14.6,11.87,8.1,1031.6666666666665,979.0000000000001,1202.7777777777776,934.9953333333334,1057.5740715746263
85,19.1,30.1,,1.1,65.9,14.6,24.79,6.9,5643.5,5288.666666666666,6113.888888888889,4697.352833333333,5617.121525531556
86,19.7,25.8,0.0,1.8,66.9,14.6,11.93,9.3,2432.666666666667,2320.8333333333335,2566.6666666666665,2178.7535000000003,2355.9589006922765
87,18.7,27.6,,1.5,72.6,14.6,19.14,7.5,1290.0,1253.1666666666667,1675.0000000000002,1166.8781666666664,1377.6732032394084
88,20.2,28.1,,1.0,70.6,14.6,20.7,5.8,3436.190476190476,3231.7619047619046,3730.5555555555557,2929.3819285714285,3514.498287309502
89,21.1,30.2,,1.2,71.3,14.6,22.76,6.5,2040.0,1918.4999999999998,2002.7777777777776,1704.3223333333333,2074.664208885523
90,22.7,28.5,,1.5,71.9,14.6,15.47,6.0,2151.3333333333335,2064.5,2341.666666666667,1865.272,2156.5052670370756
91,21.0,30.9,,1.3,68.8,14.6,23.09,7.0,2513.6666666666665,2399.6666666666665,2947.2222222222217,2112.1955,2312.027197160256
92,21.9,32.8,,2.0,63.4,14.5,27.61,3.9,6042.166666666668,5737.333333333332,6680.555555555556,4980.9478333333345,6104.012619023583
93,22.3,29.7,14.7,2.1,74.5,14.5,14.95,7.3,188.3333333333333,179.66666666666663,38.888888888888886,169.88483333333335,55.60365958915934
94,23.2,30.0,,1.7,65.5,14.5,20.24,8.3,2749.1666666666665,2601.9999999999995,3122.2222222222226,2284.352166666667,2639.3587766901665
95,20.1,25.3,14.9,1.9,76.0,14.5,6.87,9.8,1383.5,1324.6666666666665,1594.4444444444443,1255.2805,1543.3163798944515
96,17.8,22.1,79.3,2.0,82.6,14.5,3.87,10.0,791.4523809523808,758.5714285714287,833.3333333333334,769.2568333333334,783.6813069219381
97,18.2,22.2,8.5,2.2,89.3,14.4,8.8,9.6,1307.6666666666665,1263.4999999999998,1202.7777777777778,1232.3673333333334,1166.1358807435856
98,18.3,26.3,3.9,1.3,80.1,14.4,14.61,7.6,2197.0,2141.0,2258.3333333333335,1893.81,1902.2124664462576
99,19.7,29.4,,1.1,70.9,14.4,19.7,4.3,3372.333333333334,3280.666666666667,3394.4444444444443,2790.8848333333335,2924.920598486131
100,21.0,31.5,11.0,1.2,69.3,14.4,26.17,5.0,5275.142857142858,4991.738095238095,5266.666666666667,4331.131785714287,4778.826737227999
101,22.5,30.0,,1.7,63.9,14.4,23.55,5.0,3331.0,3280.166666666667,3877.777777777778,2790.9606666666664,3163.844699336151
102,21.1,28.8,7.5,2.0,73.5,14.4,15.68,9.5,1779.6666666666665,1693.6666666666665,2150.0,1559.0906666666665,1877.5587538996735
103,23.2,28.7,10.3,2.0,80.8,14.3,9.03,10.0,945.2142857142857,905.3333333333333,1505.5555555555554,884.3691190476192,1143.5191879118715
104,22.0,30.6,,1.1,66.8,14.3,22.51,7.3,4007.833333333333,3836.333333333334,4480.555555555556,3357.291166666667,3773.3831660396218
105,22.5,25.2,28.3,1.0,86.4,14.3,5.27,10.0,673.1666666666667,646.6666666666666,1197.2222222222222,623.5463333333333,1006.8559978685462
106,21.2,23.8,39.6,2.0,83.6,14.3,3.71,9.5,494.9523809523809,475.2380952380952,766.6666666666666,487.61497619047617,717.5269805222576
107,19.8,25.7,33.4,3.0,83.3,14.2,10.46,10.0,2343.5,2224.166666666667,2316.666666666667,2110.8616666666667,2050.2354279339884
108,20.7,26.6,11.5,1.2,86.8,14.2,11.07,8.4,1894.6666666666665,1765.3333333333333,1975.0000000000002,1702.7798333333337,2081.0805875947685
109,21.2,28.2,2.4,0.9,83.0,14.2,13.0,8.6,1912.8333333333335,1824.6666666666665,2016.6666666666665,1710.6091666666666,1954.8795483101899
110,22.6,28.1,8.1,1.0,80.4,14.2,10.5,10.0,2305.166666666667,2218.1666666666665,2497.2222222222226,2059.8140000000003,2288.0739069210726
111,21.9,27.4,0.4,1.3,82.9,14.1,9.26,10.0,1745.3333333333335,1675.8666666666663,2263.8888888888887,1567.1498666666666,2069.8917573069516
112,23.8,26.6,41.7,1.0,89.1,14.1,5.04,10.0,711.8333333333333,683.8333333333333,1113.888888888889,664.9085,941.5405027184071
113,24.2,28.2,69.6,1.1,88.6,14.1,7.52,9.0,929.642857142857,902.3571428571429,1441.6666666666665,837.6127857142857,1116.4778429106639
114,24.3,30.9,,1.1,78.9,14.0,17.01,8.3,2531.4999999999995,2387.3333333333335,3341.666666666667,2209.489333333333,2903.1357923675814
115,23.5,31.0,19.3,1.4,82.6,14.0,12.81,8.4,1125.0,1059.0,1388.888888888889,1018.7801666666663,1270.5552151337833
116,23.5,30.8,11.9,1.6,79.6,14.0,12.88,9.4,1892.6666666666665,1788.6666666666665,2575.0,1653.6791666666666,2100.809921928405
117,23.8,28.8,16.1,1.3,83.6,14.0,4.44,9.3,246.83333333333331,228.8333333333333,463.8888888888889,240.3867,452.5176332302476
118,24.2,32.5,6.8,1.3,82.6,13.9,16.67,9.0,2718.833333333334,2568.666666666667,2608.333333333333,2353.6965,2124.9492994422617
119,25.2,29.8,54.5,1.2,85.1,13.9,10.21,8.9,1201.1666666666665,1178.1666666666665,1294.4444444444446,1097.3964999999998,983.6375856778409
120,23.8,27.7,19.7,2.2,87.3,13.9,4.1,9.8,459.16666666666663,449.4999999999999,738.8888888888889,437.5323333333334,588.1349533000428
121,22.2,24.5,14.3,0.9,90.0,13.8,4.81,9.8,677.9999999999999,655.0238095238095,891.6666666666667,648.8771666666667,761.0823831573374
122,22.5,27.2,18.9,0.9,91.1,13.8,5.41,10.0,12.5,12.333333333333336,55.55555555555557,16.229833333333332,52.47967479674796
