,일시,총발전량(kWh),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),합계 일사량(w/m2)
292,2018-04-19,6216,1.6,19.0,0.0,1.7,59.6,13.3,25.18,0.0,6994.444444444444
293,2018-04-20,6166,6.2,25.0,0.0,1.0,63.0,13.3,25.08,0.0,6966.666666666667
294,2018-04-21,6834,6.5,23.4,0.0,1.9,62.8,13.3,27.65,0.0,7680.555555555556
295,2018-04-22,1550,11.3,17.7,2.7,2.1,80.0,13.4,4.53,0.0,1258.3333333333333
296,2018-04-23,481,10.6,14.7,67.7,4.0,97.0,13.4,2.35,0.0,652.7777777777778
297,2018-04-24,2441,9.6,15.2,1.2,3.2,74.5,13.5,10.16,0.0,2822.222222222222
298,2018-04-25,6504,6.6,21.4,0.0,2.0,50.4,13.5,27.18,0.0,7550.0
299,2018-04-26,6189,6.1,20.2,0.0,1.6,71.5,13.5,24.46,0.0,6794.444444444444
300,2018-04-27,5746,6.4,20.8,0.0,1.7,77.4,13.6,24.46,0.0,6794.444444444444
301,2018-04-28,6966,8.1,19.1,0.0,1.7,71.6,13.6,28.25,0.0,7847.222222222223
302,2018-04-29,6554,5.3,21.0,0.0,1.8,70.3,13.6,26.86,0.0,7461.111111111111
303,2018-04-30,5412,10.7,22.0,0.0,1.6,81.6,13.7,18.0,0.0,5000.0
304,2018-05-01,3258,16.8,22.5,0.1,1.6,84.9,13.7,11.14,0.0,3094.4444444444443
305,2018-05-02,1781,9.5,19.8,4.9,2.9,91.3,13.7,7.33,0.0,2036.111111111111
306,2018-05-03,5905,7.3,15.7,0.0,4.3,63.6,13.8,26.58,0.0,7383.333333333333
307,2018-05-04,6207,7.2,19.8,0.0,5.0,49.0,13.8,29.04,0.0,8066.666666666667
308,2018-05-05,4985,11.5,22.3,0.0,4.5,62.5,13.8,24.57,0.0,6825.0
309,2018-05-06,1288,14.0,17.2,34.6,2.0,95.9,13.9,4.85,0.0,1347.2222222222222
310,2018-05-07,4072,13.3,24.3,0.0,1.5,75.6,13.9,17.45,0.0,4847.222222222223
311,2018-05-08,4840,11.9,23.0,0.0,2.7,64.8,13.9,25.36,0.0,7044.444444444444
312,2018-05-09,5880,10.0,21.1,0.0,2.0,61.0,14.0,28.37,0.0,7880.555555555556
