,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),env_slopesolar,env_levelsolar,match_solar,reset_match,watt
54,21.1,28.0,,4.1,44.6,14.6,29.54,3.6,7212.756448412698,6845.078621031746,7352.7777777777765,7190.627172219314,6176.770249255951
55,16.3,26.8,,2.4,44.0,14.6,14.31,7.8,935.1438492063492,888.0270337301588,1347.2222222222224,1003.4550186526235,854.5049714781748
56,16.2,28.7,,2.6,54.8,14.6,27.94,2.5,6862.839781746032,6481.697172619048,6852.777777777777,6650.393963396484,5850.3502204861115
57,22.8,32.6,,3.8,47.5,14.7,27.44,0.3,6434.762820512821,6045.615384615385,6727.777777777777,6593.635229276505,5410.833275641026
58,17.1,25.7,,1.8,78.0,14.7,13.52,3.3,1770.9038461538462,1693.2115384615388,1469.4444444444443,1291.0927563927885,1575.7754807692306
59,15.2,24.5,,1.7,75.8,14.7,26.61,4.3,5403.23717948718,5050.493589743591,5897.222222222222,5640.736046240796,4744.760429487178
60,16.6,28.7,,1.3,67.3,14.7,27.45,2.6,6686.128205128205,6285.99358974359,6725.000000000001,6549.773863491211,5642.32935897436
61,20.7,33.1,,2.2,52.8,14.7,27.5,1.9,6488.173076923075,6148.942307692308,6738.888888888889,6577.467393558441,5481.181666666666
62,25.7,34.5,,2.1,53.6,14.7,26.47,3.6,6224.788461538461,5825.826923076923,6163.888888888889,6282.804912496659,5117.015346153846
63,22.7,32.5,3.4,1.7,64.1,14.7,21.85,7.9,4665.737179487179,4311.865384615385,4783.333333333333,5035.2478917972385,3897.2386602564097
64,22.2,31.0,0.6,1.7,66.1,14.8,28.27,5.4,6904.698717948719,6600.051282051283,6952.777777777778,6737.9130139415365,5713.598967948719
65,21.2,26.2,,1.2,76.6,14.8,15.2,8.6,2254.8525641025644,2160.0448717948716,2283.3333333333335,2260.2265659967297,2070.004179487179
66,22.2,31.2,,1.8,55.8,14.8,28.29,5.8,6650.365384615384,6293.762820512821,6558.333333333334,6647.492730826405,5558.26191025641
67,23.4,32.6,,3.0,55.6,14.8,18.83,5.0,3139.0,3161.583333333333,3652.7777777777783,3098.7634204934448,2680.7398333333335
68,23.4,32.2,,3.7,41.6,14.8,26.38,4.8,6001.583333333333,5693.583333333333,5650.0,5441.718365126326,4962.4155833333325
69,21.1,29.2,,2.3,48.5,14.8,28.42,2.9,6752.352564102564,6403.756410256411,6449.999999999999,6540.510315157548,5705.129775641025
70,20.6,31.4,,2.1,51.6,14.8,27.68,4.4,6602.615384615385,6256.224358974358,6836.11111111111,6688.435178812767,5558.132653846154
71,19.4,27.7,,2.9,71.4,14.8,12.47,9.5,2603.564102564103,2462.429487179487,3011.111111111111,3054.9977669581153,2413.3212948717946
72,18.5,20.4,0.3,2.3,90.5,14.8,5.24,8.4,1013.8397435897436,966.7243589743589,1191.6666666666667,1023.2287911678849,998.7077564102563
73,16.9,26.8,,1.3,77.0,14.8,26.16,5.5,6500.01282051282,6153.73717948718,6366.666666666668,6443.921657394844,5642.770871794873
74,19.6,28.3,,1.4,76.1,14.8,22.17,3.3,4326.141025641025,4075.852564102564,4422.222222222222,4254.828337523388,3707.116685897436
75,20.1,33.2,,1.5,59.1,14.8,28.44,1.8,6847.032051282051,6589.6858974358975,6955.555555555556,6743.554026903429,5665.151673076924
76,19.8,26.0,,1.7,76.4,14.8,22.47,8.0,3106.602564102565,2936.74358974359,3372.222222222222,3128.7989506700224,2708.735275641026
77,19.9,22.8,13.8,1.7,88.8,14.8,5.07,9.9,640.5064102564103,609.9743589743589,1005.5555555555557,1016.8635193713195,653.8603141025642
78,19.6,22.4,,1.3,90.4,14.8,6.39,9.3,1434.0512820512818,1388.7692307692307,1461.111111111111,1427.6958843940413,1357.2037307692308
79,19.4,27.8,,3.3,65.8,14.8,22.8,6.5,2340.666666666667,2190.9999999999995,2652.7777777777774,2631.215994123985,2018.7979166666669
80,23.0,30.6,0.1,1.7,61.4,14.8,16.75,6.6,3648.4999999999995,3430.0833333333335,3450.0,3139.3464299863103,3047.3002500000002
81,20.4,25.9,,1.7,78.5,14.8,25.41,4.1,4412.217948717948,4095.75641025641,3900.0,3979.9875811919655,3716.192358974359
82,19.6,25.1,2.2,1.8,85.4,14.8,9.26,8.6,841.4166666666665,812.4166666666665,1555.5555555555557,1426.8132727762322,787.4460256410256
83,16.8,21.1,250.0,3.9,97.8,14.8,2.41,9.9,373.62820512820514,353.31410256410254,616.6666666666666,576.5722341549317,409.6666538461538
84,16.8,24.4,6.7,2.3,83.8,14.8,13.65,7.6,1983.871794871795,1966.2435897435896,1905.5555555555557,1746.7999777689731,1758.9209294871794
85,18.2,29.9,,2.8,62.5,14.7,29.31,1.9,7012.115384615384,6781.673076923078,7136.111111111111,6889.5703296930005,5796.443532051281
86,19.6,26.1,,1.8,77.1,14.7,21.24,7.8,5027.891025641025,4639.03205128205,4602.777777777778,4454.967725170657,4411.490564102564
87,18.0,26.7,0.5,1.4,73.3,14.7,26.75,6.4,5537.25,5221.141025641025,5555.555555555557,5460.717910694372,4625.660378205128
88,19.5,29.6,,2.2,61.0,14.7,25.5,4.4,4480.115384615385,4163.102564102564,4388.888888888889,4397.75603070197,3768.364115384615
89,21.7,28.5,,1.4,74.3,14.7,24.07,5.3,4269.044871794871,3995.224358974359,4572.222222222222,4596.120306192546,3589.64525
90,20.6,28.8,,1.4,76.3,14.7,22.54,5.5,3995.833333333333,3707.1666666666665,4161.111111111111,4249.085660891928,3334.888916666667
91,21.9,27.3,0.4,2.2,76.1,14.7,23.55,5.0,2358.3333333333335,2202.8333333333335,2572.222222222222,2559.3334497584938,2007.3940833333334
92,21.6,25.5,,1.4,85.6,14.6,9.21,6.0,1623.1666666666667,1584.8333333333333,1641.666666666667,1497.7951933276581,1487.15275
93,21.0,24.3,22.5,1.4,94.5,14.6,5.07,9.6,492.83974358974365,468.00000000000006,891.6666666666666,800.7895778139326,502.27394871794866
94,18.6,21.6,8.2,2.4,92.4,14.6,5.1,,1396.0512820512822,1345.2820512820513,1183.3333333333333,1198.0656608097122,1305.589967948718
95,16.9,22.9,0.7,1.2,85.0,14.6,14.01,,2259.7307692307695,2163.3782051282046,2816.666666666667,2945.252406092855,2106.089833333333
96,17.8,19.5,49.0,1.3,96.4,14.6,3.73,7.3,580.0705128205128,560.0897435897435,736.1111111111111,698.0926903647771,601.8741602564103
97,17.0,19.7,42.2,2.6,95.5,14.6,6.54,9.1,1305.6410256410254,1253.4102564102564,1633.3333333333335,1543.2859500696538,1266.2530512820513
98,16.5,22.7,0.0,1.3,83.9,14.5,12.29,6.4,2019.653846153846,2046.679487179487,1938.8888888888887,1580.6874632121603,1741.0492243589747
99,14.8,27.0,,1.3,76.3,14.5,28.54,2.1,7015.083333333333,6683.532051282051,6991.666666666666,6762.524733841963,5972.747724358975
100,16.8,27.4,,1.4,76.4,14.5,28.39,0.9,6950.852564102564,6606.884615384613,6969.444444444445,6729.956376169645,5900.07237179487
101,18.2,25.5,,1.4,80.3,14.5,21.52,5.5,4011.608974358974,3666.4935897435903,4041.666666666666,4236.298153801798,3468.7251153846155
102,19.2,25.6,0.0,1.1,82.6,14.4,12.5,8.6,1837.8461538461536,1753.301282051282,2238.8888888888887,2006.3663616540707,1714.4252307692307
103,22.7,30.5,0.0,2.5,67.5,14.4,6.75,9.0,1386.4999999999995,1297.3333333333333,1355.5555555555557,1197.707416207019,1309.9103333333333
104,23.8,30.5,,2.4,64.1,14.4,26.8,6.1,6226.929487179487,5763.538461538461,5950.0,5976.211567704449,5182.084025641026
105,22.0,28.1,,1.1,78.5,14.4,13.51,9.4,2583.6666666666665,2483.557692307692,2797.222222222222,2731.2675030879714,2362.867871794872
106,19.8,24.1,30.1,1.3,91.9,14.3,5.89,10.0,1018.9551282051281,969.75,1405.5555555555554,1455.4220798668277,995.6744423076925
107,18.3,22.0,121.8,2.5,98.8,14.3,3.31,8.3,574.3653846153845,557.0384615384615,841.6666666666667,804.9351211455098,579.078967948718
108,20.2,21.4,54.5,1.8,99.8,14.3,3.18,8.8,443.09615384615387,423.78846153846155,775.0000000000002,728.4616712369941,466.12455128205124
109,19.6,24.4,4.8,1.6,92.4,14.3,12.58,7.5,2373.102564102564,2201.173076923077,2391.6666666666674,2537.792533521169,2144.320717948718
110,20.3,21.9,1.5,0.9,96.4,14.2,3.58,10.0,898.0128205128206,875.4679487179487,483.3333333333333,526.4315223492667,877.2964743589744
111,20.3,22.3,3.9,0.7,96.4,14.2,4.63,9.6,1229.696581196581,1193.3995726495725,1163.888888888889,1155.139599989872,1193.9188205128205
112,20.6,23.5,19.4,0.7,94.6,14.2,5.57,9.1,1270.2756410256409,1235.4423076923076,1108.3333333333335,1046.8620798177403,1185.4020128205127
113,21.2,26.1,9.7,0.9,90.4,14.2,9.27,7.7,1363.7499999999998,1306.7500000000002,1775.0,1369.0115567078824,1220.5593333333336
114,24.4,33.4,,2.3,60.0,14.1,24.89,4.3,5783.75,5273.961538461539,5408.333333333334,5426.391817685561,4705.975564102564
115,24.4,30.5,0.8,2.0,74.6,14.1,9.24,9.1,1048.7499999999998,990.5,1397.2222222222222,1099.223551259966,976.8159166666666
116,23.7,33.0,3.9,1.6,76.0,14.1,18.35,8.4,2215.75641025641,2019.2756410256409,3011.111111111111,2458.4687159136784,1860.8547820512822
117,24.1,29.3,10.3,3.6,70.9,14.0,1.96,10.0,229.5,214.00000000000006,152.7777777777778,134.52431339678998,241.42320454545452
118,23.9,28.8,4.7,1.5,83.5,14.0,6.04,9.9,671.3782051282052,660.3974358974358,1011.1111111111111,837.9809024450366,659.360435897436
119,21.8,24.5,7.9,0.9,94.9,14.0,2.73,10.0,416.525641025641,396.974358974359,636.1111111111112,490.7556137102794,434.8076923076923
120,22.1,28.3,5.8,1.6,88.5,13.9,4.21,9.3,830.8461538461538,797.6217948717948,658.3333333333334,508.8554486066067,797.4945576923076
121,22.2,28.7,0.3,1.5,76.5,13.9,6.84,9.0,1700.955128205128,1641.467948717949,1616.6666666666667,1558.4025584481635,1560.772846153846
122,21.4,22.5,8.4,0.6,93.8,13.9,3.7,8.5,170.9551282051282,166.08333333333331,116.66666666666669,196.45556288614443,164.77090384615383
